Stage,Lat,Long
Dublin,53.34731671,-6.259099064
Kennelsfort Road,53.3548424,-6.37148915
Liffey Valley SC,53.3559773,-6.39187
Lucan Spa Hotel,53.3554333,-6.46209205
Maynooth,53.378064,-6.58824
Maynooth (University),53.3821296,-6.59880815
Millerstown,53.39584085,-6.65712105
Kilcock Square,53.3996859,-6.66740625
Kilcock,53.4038115,-6.6722856
Ferrans Lock,53.41196735,-6.71204375
Kelleghers Cross,53.4206533,-6.7492742
Cloncurry Cross,53.4153535,-6.7918065
Enfield,53.4140259,-6.82813485
Moyvalley,53.4274292,-6.9096091
Farrells Nursery,53.42898315,-6.95783535
Clonard,53.4511177,-7.0203841
Kinnegad,53.4546249,-7.10066885
Coralstown,53.4813959,-7.17197585
Heathstown,53.49024675,-7.2014898
Mullingar East,53.52446107,-7.31887295
Mullingar,53.52463415,-7.34266055
Summerhill (Meath),53.4812159,-6.7325321
Rathmolyon,53.48802575,-6.80482605
Ballivor,53.53292855,-6.96351335
Raharney,53.52396385,-7.09287415
Killucan,53.5136368,-7.14350245
Longwood,53.4550703,-6.924568
Wellmount Road,53.38645665,-6.29704475
North Road,53.40017235,-6.3081071
Kildonan,53.4134114,-6.3192252
Kilshane Cross,53.42645013,-6.328422067
Broughan,53.4336596,-6.333221
Ward Cross,53.44401795,-6.34095235
Coolquay,53.45868415,-6.35054565
Newtown Cross (Meath),53.46841735,-6.3593114
Bullstown,53.4828427,-6.3724515
Ninemile Stone,53.49728905,-6.38526045
Ashbourne South,53.5042472,-6.391496317
Ashbourne,53.51248063,-6.399513375
Ashbourne North,53.51967303,-6.412785963
Ratoath South,53.504496,-6.45138665
Ratoath,53.50937133,-6.462663875
Ratoath North,53.50698144,-6.469058318
Emerald Park,53.5458081,-6.458382
Connolly Hospital,53.3888064,-6.370561275
Blanchardstown,53.39286532,-6.38383408
Clonee,53.41052795,-6.4422875
Dunboyne Station,53.41599005,-6.46033635
Dunboyne,53.41821695,-6.47219395
Bracetown,53.43002485,-6.46049125
Piercetown,53.44813885,-6.4745568
Fairyhouse Cross,53.45354858,-6.47762046
Fairyhouse Road,53.47008675,-6.47092645
Fairyhouse Race Course,53.48479065,-6.47369215
Harlockstown,53.4967525,-6.403216
Kilmoon Cross,53.57268085,-6.44795215
Balrath Cross,53.62283135,-6.48762535
Kentstown,53.62775508,-6.53300355
O'Briens Cross,53.6406108,-6.49815825
Duleek,53.65672105,-6.413364775
Drogheda,53.7117216,-6.3533949
Kells,53.72840403,-6.878403413
Moynalty,53.78943135,-6.8867204
Mullagh (Cavan),53.8115302,-6.9474806
Relabeg,53.86842005,-6.9625139
Bailieboro,53.91618115,-6.9694575
Ashtown Roundabout,53.37156935,-6.33021355
Ashtown Cross,53.37647995,-6.34528485
Porterstown Lane,53.46760555,-6.4924493
Rathbeggan,53.47829295,-6.5050574
Bush Lane,53.48337645,-6.5148686
Ballymurphy,53.4956856,-6.5279959
The Willows,53.50253865,-6.5358712
Dunshaughlin IE,53.505798,-6.5398342
Dunshaughlin,53.51291443,-6.539458967
Grange Hall,53.51727245,-6.5451474
Ross Cross (Meath),53.5667233,-6.5796842
Lismullen,53.5890694,-6.59635125
Tara Cross,53.59262385,-6.60325795
Garlow Cross,53.60309155,-6.61929965
St. Columbans,53.60906135,-6.62769625
Navan Kilcarne Bridge,53.63347235,-6.6643816
Navan Ardboyne Hotel,53.64159345,-6.6705375
Navan,53.65448345,-6.68576295
Navan North,53.65885006,-6.69185725
Kells Road,53.67249515,-6.73945005
Mitchell's Cross,53.68184055,-6.7591307
The Silver Tankard,53.6862965,-6.76811375
Bloomsbury Cross,53.7079384,-6.8001093
Kilmainham,53.71575985,-6.8299221
Kells Industrial Estate,53.73619305,-6.9007843
Carnaross,53.75078685,-6.95545895
Carnaross North,53.75396035,-6.9633639
Whitegate (Cavan),53.7762235,-7.0034605
Maghera Cross,53.80039175,-7.03404535
Virginia South,53.8319481,-7.0704329
Virginia,53.83494855,-7.0828463
Lisgrey,53.8663793,-7.1155256
Billis,53.88636615,-7.147968
New Inn (Cavan),53.90112875,-7.17600125
Knocknagillagh,53.92400015,-7.21232685
Lavey,53.9660111,-7.23036435
Kilmore Hotel (Cavan),53.9863394,-7.32020025
Pullamore,53.9846214,-7.3269009
Crystal Retail Park,53.9833632,-7.3414664
Breffni Retail Park,53.9829243,-7.35582775
Cavan,53.990198,-7.363287
Cavan Institute,54.00014,-7.35886415
Batterstown,53.4692018,-6.5366247
Rathregan Court,53.47122685,-6.5394246
Pelletstown Cross,53.4890252,-6.57540245
Warrenstown,53.51187575,-6.61865565
Dunsany Lodge,53.52150985,-6.65048765
Kiltale,53.5255362,-6.66973315
Pike Corner,53.5366145,-6.7087991
Scurloughstown,53.5487286,-6.74374245
Trim South,53.55350923,-6.7700322
Trim,53.55313235,-6.78550785
Trim North,53.56066474,-6.7857117
Kildalkey,53.57093335,-6.9058375
Athboy,53.62181935,-6.92083995
Delvin,53.6117846,-7.0929423
Clonmellon,53.6638973,-7.0169844
Dublin Airport,53.42685,-6.23980975
Airside,53.4449822,-6.22817745
Swords,53.4590089,-6.2142553
Balheary Park,53.46859195,-6.21327565
Turvey,53.4944089,-6.1949625
Blake's Cross,53.5056515,-6.1942505
Regles,53.5253525,-6.189174
Corduff,53.5156525,-6.1913975
Ballough,53.53248435,-6.1945275
Five Roads (Dublin),53.55114245,-6.20941435
Grooms,53.5671583,-6.20937185
Knock Cross,53.5768343,-6.20221995
Balrothery Inn,53.58798765,-6.18936735
Balrothery,53.593444,-6.1855611
Balbriggan South,53.60053428,-6.184398417
Balbriggan,53.60724505,-6.18349585
Balbriggan North,53.61479679,-6.190817013
Gormanstown  ,53.63703155,-6.2239715
Gormanstown Camp,53.64088245,-6.2354933
Bellewstown Cross,53.6550864,-6.259460567
Whitecross,53.66748435,-6.2779603
Julianstown,53.6733687,-6.28592405
Moorehall Lodge,53.69789595,-6.30900775
Colp West,53.70319105,-6.31484655
Drogheda  South,53.7126742,-6.3395055
Bray,53.2024144,-6.10774155
Bray South,53.19064614,-6.12389588
Kilmacanogue,53.1708883,-6.137032567
Kilmurry (Wicklow),53.15754105,-6.1275836
Glenview,53.14637455,-6.1245561
Killickabawn,53.1212708,-6.1101547
Glenview Park,53.1139668,-6.107562
Kilpedder,53.1112249,-6.10527735
Garden Village,53.1004405,-6.107663
Coillte,53.0974608,-6.1099293
Newtownmountkennedy,53.09201325,-6.1121689
Springfield Heights,53.08865695,-6.1096806
Newtown Business Centre,53.0833892,-6.104290933
Newcastle (Wicklow),53.0796627,-6.1008646
Rathmore (Wicklow),53.0523488,-6.09205615
Ashford,53.0126729,-6.10783945
Ballinalea,53.0055957,-6.1034177
Rathnew North,52.99697255,-6.0843405
Rathnew,52.99439105,-6.0793422
Knockrobin,52.9918525,-6.0717185
Wicklow North,52.98615826,-6.05881956
Wicklow Central,52.97531674,-6.047899286
Wicklow,52.978966,-6.0366963
 Stillorgan,53.2919266,-6.1988016
Newtownpark Avenue,53.2786164,-6.1854595
Cabinteely,53.263709,-6.153545125
Loughlinstown,53.24511183,-6.133910525
Tallaght,53.28941215,-6.3740014
Blessington,53.1714294,-6.531715
Annalecky Cross,53.03730765,-6.63540155
Baltinglas,52.9430081,-6.71229755
Kiltegan,52.9043103,-6.6068352
Hacketstown,52.86529825,-6.55842575
Crossbridge,52.8161663,-6.5003153
Tinahealy,52.799326,-6.46445675
Shilelagh,52.75534395,-6.53402865
Carnew,52.70980305,-6.498127
Rathvilly,52.88058495,-6.6954049
Tullow,52.80473905,-6.73250135
Ballon,52.74013765,-6.77031235
Kildavin,52.683916,-6.685386
Bunclody,52.65510145,-6.65205725
Enniscorthy,52.5014854,-6.5643185
St Senan's Hospital,52.49077,-6.5657499
Oylegate,52.4231805,-6.530185
Wexford Hospital,52.3420913,-6.4840694
Wexford Station,52.3431341,-6.4642343
Wexford,52.33474095,-6.4558379
Rosslare Europort,52.2527494,-6.3351658
Drogheda North,53.72152985,-6.34735065
Aston Village,53.7328842,-6.3298167
Collinstown,53.64758115,-7.21260205
Castlepollard,53.67975925,-7.2988414
Coole (Westmeath),53.6987184,-7.37209325
Abbeylara,53.7652996,-7.44887835
Granard,53.77743715,-7.4961839
Ballinagh,53.9315302,-7.40869775
Navan South,53.64260528,-6.663357725
Dunsany Village,53.54177985,-6.6212506
Swainstown,53.55533795,-6.64687565
Kilmessan,53.5592674,-6.6602221
Ennistown Stud,53.56852815,-6.68608635
Bective Cross,53.58004115,-6.697622
Bective Abbey,53.58267625,-6.7048281
Kilberry,53.7058462,-6.6851481
Wilkinstown,53.73471605,-6.7114883
Mullens Cross,53.76778855,-6.72539455
Castletown (Meath),53.78072265,-6.7146237
Nobber,53.8213371,-6.74714475
Kilmainham Wood,53.84970095,-6.80634005
Kingscourt,53.9058537,-6.80490695
Glenview ,53.146374,-6.124556
